순번	영상ID	제목	길이	상태
72	ZCjP-yktmxQ	구멍난 전세제도 그냥 방치하는 이유 (언더스탠딩 백종훈 기자)	25분	
73	2imeqNAqUBc	분양권 잘못 사면 양도세 폭탄 맞습니다 (언더스탠딩 장순원 기자)	20분	
74	4t9DHKWmdtg	강북 재건축 대놓고 밀어주기 시작했습니다 (언더스탠딩 장순원 기자)	24분	
75	UupAxz2VPuE	강남에 대규모 아파트 공급, 그린벨트 풀어도 쉽지 않습니다 (언더스탠딩 백종훈 기자)	27분	
76	iPUiu8kIptI	재건축 올스톱 위기, 이 판결에 달렸습니다 (분전 아카데미 김건우 대표)	61분	
77	sE5YH2QMoRw	200억원 한남동 아파트 고급주택이 아닌 이유 (언더스탠딩 백종훈 기자)	39분	
78	Ls5yNO7gNcg	삼성의 미래는 수원 집값을 보면 압니다 (부자의생각 강병호 대표)	65분	
79	cFPZjflLePo	송도 노른자땅 30만평 16년째 방치된 이유 (언더스탠딩 백종훈 기자)	25분	
80	7a0czZ8BqQI	레지던스 대란 아직 끝나지 않았습니다 (언더스탠딩 장순원 기자)	26분	
81	WVf1DN6NVAA	리츠 투자, 이게 문제였습니다 (단국대 부동산대학원 서원형 겸임교수)	77분	
82	nmLYhxTBzBM	상가 낀 재건축 올스톱 위기입니다 (언더스탠딩 장순원 기자)	34분	
83	kKj4iLq-s4c	어금니 꽉 깨무세요. 아파트 공급절벽 옵니다 (투미부동산컨설팅 김제경 소장)	72분	
84	gUCaih1Dpik	부동산 신탁이 뭐길래 하루아침에 망하나 (언더스탠딩 장순원 기자)	26분	
85	HUiXPEZUgLU	분당 일산 재건축, 이러다간 제때 시작 못할 겁니다 (분전아카데미 김건우 대표)	64분	
86	LEtjjXEGPQQ	노부모는 부양 필요없다? 청약 제도 개편 논란 (언더스탠딩 장순원 기자)	22분	
87	mREkJfT7vBs	아파트 리츠 한국에서 지독하게 안 되는 이유 (언더스탠딩 김상훈 기자)	27분	
88	bBUowJsZrlU	임대주택 분양가 논란, 떼법인가 꼼수인가 (언더스탠딩 장순원 기자)	27분	
89	N-NFoGOcmNc	아파트 짓는 건설사는 왜 신체포기각서 썼나 (언더스탠딩 김상훈 기자)	37분	
90	Pbfy9TOBU4I	분당 전세대란 불가피할 겁니다 (언더스탠딩 장순원 기자)	41분	
91	I6PaVladWvw	사무실이 주택으로 바뀝니다 집값은 어디로? (CoreBeat 류혜식 애널리스트)	71분	
92	0UZO68L3Daw	아파트 공급 부족하다는 통계, 잘 봐야 하는 이유 (라이프자산운용 배문성 팀장)	78분	
