날짜,제목,발표자,소속,원제목,링크
2026-08-05,Learning on the Job: The Future of Post-Training,Raymond Feng,Applied Compute,"Learning on the Job: The Future of Post-Training — Raymond Feng, Applied Compute",https://youtu.be/k35LeKZEhiE
2026-08-05,Data and Environment Curation for Post-Training LLMs,Mahesh Sathiamoorthy,Bespoke Labs,"Data and Environment Curation for Post-Training LLMs — Mahesh Sathiamoorthy, Bespoke Labs",https://youtu.be/ewtOo0scUh0
2026-08-05,Scaling to Long Horizons,Ross Taylor & Chengxi Taylor,General Reasoning,"Scaling to Long Horizons — Ross Taylor & Chengxi Taylor, General Reasoning",https://youtu.be/2bvtay8wGYI
2026-08-05,Emulated: The Data for Fully Autonomous Software Engineers and Companies,Joseph Wang,,Emulated: The Data for Fully Autonomous Software Engineers and Companies — Joseph Wang,https://youtu.be/zkX03APVj0M
2026-08-05,The Base Model Is Dead,Varun Singh,Arcee AI,"The Base Model Is Dead — Varun Singh, Arcee AI",https://youtu.be/xbPriQWXtWM
2026-08-05,Verifiable Environments for AI in Biology,Kenny Workman,LatchBio,"Verifiable Environments for AI in Biology — Kenny Workman, LatchBio",https://youtu.be/3ZMUiFaQ3qg
2026-08-05,Ending AI Slop,Thais Castello Branco,Taste Labs,"Ending AI Slop — Thais Castello Branco, Taste Labs",https://youtu.be/lCBf9slCanI
2026-08-05,"Benchmarks: The Good, the Bad, and the Ugly",Ali Khial,G2i,"Benchmarks: The Good, the Bad, and the Ugly — Ali Khial, G2i",https://youtu.be/jWq-aZIU0kM
2026-08-05,Reinforcement Learning without Verifiable Rewards,Will Brown,Prime Intellect,"Reinforcement Learning without Verifiable Rewards — Will Brown, Prime Intellect",https://youtu.be/AQv3qRCG6Gw
2026-08-05,Agents at Scale: Inside MiniMax's Model and the Infrastructure Behind It,Dan Fu and Olive Song,,Agents at Scale: Inside MiniMax's Model and the Infrastructure Behind It — Dan Fu and Olive Song,https://youtu.be/AVMr9PMINyo
2026-08-05,fighting slop with slop,Vaibhav Gupta,Boundary,"fighting slop with slop — Vaibhav Gupta, Boundary",https://youtu.be/AMiyLItEtLA
2026-08-05,First Steps Toward Automated AI Research,Richard Socher,CEO Recursive AI,"First Steps Toward Automated AI Research — Richard Socher, CEO Recursive AI",https://youtu.be/pWXUkLP9uWM
2026-08-05,Your Finance Agent's Bottleneck Is You,Ramana Siddanth Emani,Auditoria AI,"Your Finance Agent's Bottleneck Is You — Ramana Siddanth Emani, Auditoria AI",https://youtu.be/z0sh8HyTrDo
2026-08-05,"Build for the Memo, Not the Demo",Shawn Chan,China Resources Holdings,"Build for the Memo, Not the Demo — Shawn Chan, China Resources Holdings",https://youtu.be/tJFjeMBKbIY
2026-08-05,Let's integrate AI Agents in Event-Sourced Systems,Divakar Kumar,FlyersSoft,"Let's integrate AI Agents in Event-Sourced Systems — Divakar Kumar, FlyersSoft",https://youtu.be/o6U_2vd967Y
2026-08-05,Wearing the Agent: From Group Chats to Glasses,Sai Krishna Rallabandi,,Wearing the Agent: From Group Chats to Glasses — Sai Krishna Rallabandi,https://youtu.be/s67bE2Ur3bY
